CAPE TOWN - CHRIS HANI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONDAYS TO FRIDAYS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLATFORM NO.;16;17;19;20;;16;17;20;16;16;20;18;16;20;18;17;19;18;16;21;18;16;20;16;19;21;17;16;20;18;16;19;17;20;18;16;20;16;20;19;16;20;16;20;19;20;16;21;16;19;20;16;18;20;16;18;16;20;17;18;16;19;15;20;18;21;17;16;20;19;17;18;16;20;17;21;16;18;19;21;16;19;18;17;20;19;16;17;15;19;16;17;18;;15;20;16;21;19;18;17;20;21;16;19;20;16;19;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAIN NO.;9501;9911;9003;9913;9005;9503;9915;9007;9505;9507;9917;9011;9509;9919;9013;9511;9921;9015;9513;9923;9017;9515;9925;9517;9019;9927;9519;9521;9929;9021;9523;9931;9525;9933;9023;9527;9935;9529;9937;9025;9531;9939;9533;9941;9027;9943;9535;9945;9537;9029;9947;9539;9031;9949;9541;9033;9543;9951;9353;9035;9545;9953;9547;9955;9037;9213;9357;9549;9403;9039;9551;9959;9553;9961;9577;9405;9555;9041;9219;9963;9557;9965;9221;9367;9995;9043;9559;9969;9561;9987;9563;9371;9045;9989;9565;9973;9567;9975;9223;9047;9569;9977;9979;9571;9049;9981;9573;9983;9575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPE TOWN;05:00;05:05;05:10;05:35;;05:40;06:02;06:12;06:10;06:30;06:40;06:45;06:52;07:07;07:10;07:22;07:30;07:43;07:52;08:00;08:10;08:15;08:30;08:35;08:45;09:00;09:05;09:30;09:35;09:40;10:00;10:05;10:30;10:35;10:50;11:00;11:05;11:35;11:35;11:50;12:05;12:10;12:35;12:40;12:55;13:10;13:10;13:40;13:40;13:55;14:10;14:15;14:22;14:35;14:40;14:50;15:00;15:05;15:18;15:24;15:25;15:32;15:40;15:45;15:50;15:52;15:55;16:00;16:07;16:15;16:15;16:20;16:20;16:30;16:33;16:40;16:40;16:45;16:50;16:55;17:00;17:05;17:23;17:10;17:15;17:20;17:20;17:30;17:28;17:40;17:37;17:45;17:50;;18:00;18:05;18:10;18:20;18:25;18:30;18:35;18:34;19:05;19:00;19:10;19:38;19:40;20:25;20:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WOODSTOCK;05:03;..;..;..;;05:43;..;..;06:13;06:33;..;..;06:55;..;..;07:25;..;..;07:55;..;..;08:18;..;08:38;..;..;09:08;09:33;..;..;10:03;..;10:33;..;..;11:03;..;11:38;..;..;12:08;..;12:38;..;..;..;13:13;..;13:43;..;..;14:18;..;..;14:43;..;15:03;..;15:21;..;15:28;..;15:43;..;..;..;15:58;16:03;..;..;16:18;..;16:23;;16:36;..;16:43;..;..;..;17:03;..;..;17:13;;..;17:23;..;17:31;..;17:40;17:48;..;;18:03;..;18:13;18:23;..;..;18:38;..;..;19:03;..;..;19:43;..;20:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SALT RIVER;05:06;..;..;..;;05:46;..;..;06:16;06:36;..;..;06:58;..;..;07:28;..;..;07:58;..;..;08:21;..;08:41;..;..;09:11;09:36;..;..;10:06;..;10:36;..;..;11:06;..;11:41;..;..;12:11;..;12:41;..;..;..;13:16;..;13:46;..;..;14:21;..;..;14:46;..;15:06;..;15:24;..;15:31;..;15:46;..;..;;16:01;16:06;..;..;16:21;..;16:26;;16:39;..;16:46;..;..;..;17:06;..;..;17:16;;..;17:26;..;17:34;..;17:43;17:51;..;;18:06;..;18:16;18:26;..;..;18:41;..;..;19:06;..;..;19:46;..;20:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOEBERG RD;05:08;..;..;..;;05:48;..;..;06:18;06:38;..;..;07:00;..;..;07:30;..;..;08:00;..;..;08:23;..;08:43;..;..;09:13;09:38;..;..;10:08;..;10:38;..;..;11:08;..;11:43;..;..;12:13;..;12:43;..;..;..;13:18;..;13:48;..;..;14:23;..;..;14:48;..;15:08;..;15:26;..;15:33;..;15:48;..;..;;16:03;16:08;..;..;16:23;..;16:28;;16:41;..;16:48;..;..;..;17:08;..;..;17:18;;..;17:28;..;17:36;..;17:45;17:53;..;;18:08;..;18:18;18:28;..;..;18:43;..;..;19:08;..;..;19:48;..;20:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAITLAND;05:11;..;..;..;;05:51;..;..;06:21;06:41;..;..;07:03;..;..;07:33;..;..;08:03;..;..;08:26;..;08:46;..;..;09:16;09:41;..;..;10:11;..;10:41;..;..;11:11;..;11:46;..;..;12:16;..;12:46;..;..;..;13:21;..;13:51;..;..;14:26;..;..;14:51;..;15:11;..;15:29;..;15:36;..;15:51;..;..;;16:06;16:11;..;..;16:26;..;16:31;;16:44;..;16:51;..;..;..;17:11;..;..;17:21;;..;17:31;..;17:39;..;17:48;17:56;..;;18:11;..;18:21;18:31;..;..;18:46;..;..;19:11;..;..;19:51;..;20:29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NDABENI;05:14;..;..;..;;05:54;..;..;06:24;06:44;..;..;07:06;..;..;07:36;..;..;08:06;..;..;08:29;..;08:49;..;..;09:19;09:44;..;..;10:14;..;10:44;..;..;11:14;..;11:49;..;..;12:19;..;12:49;..;..;..;13:24;..;13:54;..;..;14:29;..;..;14:54;..;15:14;..;15:32;..;15:39;..;15:54;..;..;;16:09;16:14;..;..;16:29;..;16:34;;16:47;..;16:54;..;..;..;17:14;..;..;17:24;;..;17:34;..;17:42;..;17:51;17:59;..;;18:14;..;18:24;18:34;..;..;18:49;..;..;19:14;..;..;19:54;..;20:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PINELANDS;05:16;..;..;..;;05:56;..;..;06:26;06:46;..;..;07:08;..;..;07:38;..;..;08:08;..;..;08:31;..;08:51;..;..;09:21;09:46;..;..;10:16;..;10:46;..;..;11:16;..;11:51;..;..;12:21;..;12:51;..;..;..;13:26;..;13:56;..;..;14:31;..;..;14:56;..;15:16;..;15:34;..;15:41;..;15:56;..;..;;16:11;16:16;..;..;16:31;..;16:36;;16:49;..;16:56;..;..;..;17:16;..;..;17:26;;..;17:36;..;17:44;..;17:53;18:01;..;;18:16;..;18:26;18:36;..;..;18:51;..;..;19:16;..;..;19:56;..;20:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESPLANADE;..;05:09;05:14;05:39;;..;06:06;06:16;..;..;06:44;06:49;..;07:11;07:14;..;07:34;07:47;..;08:04;08:14;..;08:34;..;08:49;09:04;..;..;09:39;09:44;..;10:09;..;10:39;10:54;..;11:09;..;11:39;11:54;..;12:14;..;12:44;12:59;13:14;..;13:44;..;13:59;14:14;..;14:26;14:39;..;14:54;..;15:09;..;15:28;..;15:36;..;15:49;15:54;15:56;..;..;16:11;16:19;..;16:24;..;16:34;;16:44;..;16:49;16:54;16:59;..;17:09;17:27;..;;17:24;..;17:34;..;17:44;..;..;17:54;..;..;18:09;..;..;18:29;18:34;..;18:38;19:09;..;19:14;19:42;..;20:29;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAARDENEILAND;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;..;;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
